,Category,Class,Country,Unit,Value
2119,Total number of indigenous threatened species,Lichens,Finland,Number,268.0
2120,Total number of indigenous threatened species,Invertebrates,Finland,Number,1255.0
2121,Threatened species as % of known species,Mosses,Finland,Percentage,20.516
2122,Threatened species as % of known species,Lichens,Finland,Percentage,16.813
2123,Threatened species as % of known species,Invertebrates,Finland,Percentage,5.24
2124,Threatened indigenous species as % of indigenous spec.,Mosses,Finland,Percentage,20.516
2125,Threatened indigenous species as % of indigenous spec.,Lichens,Finland,Percentage,16.813
2126,Threatened indigenous species as % of indigenous spec.,Invertebrates,Finland,Percentage,5.24
2127,Total number of known species,Fish,Germany,Number,186.0
2128,Total number of known species,Marine Fish,Germany,Number,93.0
2129,Total number of known species,Mosses,Germany,Number,1121.0
2130,Total number of known species,Lichens,Germany,Number,1794.0
2131,Total number of known species,Invertebrates,Germany,Number,10256.0
2132,Total number of indigenous known species,Fish,Germany,Number,172.0
2133,Total number of indigenous known species,Marine Fish,Germany,Number,93.0
2134,Total number of indigenous known species,Mosses,Germany,Number,1121.0
2135,Total number of indigenous known species,Lichens,Germany,Number,1794.0
2136,Total number of indigenous known species,Invertebrates,Germany,Number,10165.0
2137,Number of endangered species,Fish,Germany,Number,14.0
2138,Number of endangered species,Marine Fish,Germany,Number,5.0
2139,Number of endangered species,Mosses,Germany,Number,104.0
2140,Number of endangered species,Lichens,Germany,Number,165.0
2141,Number of endangered species,Invertebrates,Germany,Number,1011.0
2142,Number of critically endangered species,Amphibians,Germany,Number,0.0
2143,Number of critically endangered species,Fish,Germany,Number,12.0
2144,Number of critically endangered species,Marine Fish,Germany,Number,4.0
2145,Number of critically endangered species,Mosses,Germany,Number,28.0
2146,Number of critically endangered species,Lichens,Germany,Number,306.0
2147,Number of critically endangered species,Invertebrates,Germany,Number,559.0
2148,Number of vulnerable species,Fish,Germany,Number,23.0
2149,Number of vulnerable species,Marine Fish,Germany,Number,12.0
2150,Number of vulnerable species,Mosses,Germany,Number,327.0
2151,Number of vulnerable species,Lichens,Germany,Number,456.0
2152,Number of vulnerable species,Invertebrates,Germany,Number,2183.0
2153,Total number of threatened species,Fish,Germany,Number,49.0
2154,Total number of threatened species,Marine Fish,Germany,Number,21.0
2155,Total number of threatened species,Mosses,Germany,Number,459.0
2156,Total number of threatened species,Lichens,Germany,Number,927.0
2157,Total number of threatened species,Invertebrates,Germany,Number,3753.0
2158,Number of endangered indigenous species,Fish,Germany,Number,14.0
2159,Number of endangered indigenous species,Marine Fish,Germany,Number,5.0
2160,Number of endangered indigenous species,Mosses,Germany,Number,104.0
2161,Number of endangered indigenous species,Lichens,Germany,Number,165.0
2162,Number of endangered indigenous species,Invertebrates,Germany,Number,1011.0
2163,Number of critically endangered indigenous species,Amphibians,Germany,Number,0.0
2164,Number of critically endangered indigenous species,Fish,Germany,Number,12.0
2165,Number of critically endangered indigenous species,Marine Fish,Germany,Number,4.0
2166,Number of critically endangered indigenous species,Mosses,Germany,Number,28.0
2167,Number of critically endangered indigenous species,Lichens,Germany,Number,306.0
2168,Number of critically endangered indigenous species,Invertebrates,Germany,Number,559.0
2169,Number of vulnerable indigenous species,Fish,Germany,Number,23.0
2170,Number of vulnerable indigenous species,Marine Fish,Germany,Number,12.0
2171,Number of vulnerable indigenous species,Mosses,Germany,Number,327.0
2172,Number of vulnerable indigenous species,Lichens,Germany,Number,456.0
2173,Number of vulnerable indigenous species,Invertebrates,Germany,Number,2183.0
2174,Total number of indigenous threatened species,Fish,Germany,Number,49.0
2175,Total number of indigenous threatened species,Marine Fish,Germany,Number,21.0
2176,Total number of indigenous threatened species,Mosses,Germany,Number,459.0
2177,Total number of indigenous threatened species,Lichens,Germany,Number,927.0
2178,Total number of indigenous threatened species,Invertebrates,Germany,Number,3753.0
2179,Threatened species as % of known species,Fish,Germany,Percentage,26.344
2180,Threatened species as % of known species,Marine Fish,Germany,Percentage,22.581
2181,Threatened species as % of known species,Mosses,Germany,Percentage,40.946
2182,Threatened species as % of known species,Lichens,Germany,Percentage,51.672
2183,Threatened species as % of known species,Invertebrates,Germany,Percentage,36.593
2184,Threatened indigenous species as % of indigenous spec.,Fish,Germany,Percentage,28.488000000000003
2185,Threatened indigenous species as % of indigenous spec.,Marine Fish,Germany,Percentage,22.581
2186,Threatened indigenous species as % of indigenous spec.,Mosses,Germany,Percentage,40.946
2187,Threatened indigenous species as % of indigenous spec.,Lichens,Germany,Percentage,51.672
2188,Threatened indigenous species as % of indigenous spec.,Invertebrates,Germany,Percentage,36.921
2189,Total number of known species,Invertebrates,Italy,Number,58632.0
2190,Number of endangered species,Invertebrates,Italy,Number,136.0
2191,Number of critically endangered species,Invertebrates,Italy,Number,88.0
2192,Number of vulnerable species,Invertebrates,Italy,Number,232.0
2193,Total number of threatened species,Invertebrates,Italy,Number,456.0
2194,Threatened species as % of known species,Invertebrates,Italy,Percentage,0.778
2195,Total number of known species,Marine Fish,Korea,Number,1078.0
2196,Total number of known species,Freshwater Fish,Korea,Number,202.0
2197,Total number of known species,Invertebrates,Korea,Number,26541.0
2198,Number of endangered species,Invertebrates,Korea,Number,43.0
2199,Number of critically endangered species,Invertebrates,Korea,Number,24.0
2200,Number of vulnerable species,Invertebrates,Korea,Number,137.0
2201,Total number of threatened species,Invertebrates,Korea,Number,204.0
2202,Threatened species as % of known species,Freshwater Fish,Korea,Percentage,12.870999999999999
2203,Threatened species as % of known species,Invertebrates,Korea,Percentage,0.769
2204,Total number of known species,Invertebrates,Luxembourg,Number,149.0
2205,Number of endangered species,Invertebrates,Luxembourg,Number,7.0
2206,Number of vulnerable species,Invertebrates,Luxembourg,Number,9.0
2207,Total number of threatened species,Invertebrates,Luxembourg,Number,23.0
2208,Threatened species as % of known species,Invertebrates,Luxembourg,Percentage,15.436
2209,Total number of known species,Marine Fish,Mexico,Number,2224.0
2210,Total number of known species,Freshwater Fish,Mexico,Number,505.0
2211,Total number of indigenous known species,Freshwater Fish,Mexico,Number,289.0
2212,Number of endangered species,Marine Fish,Mexico,Number,1.0
2213,Number of endangered species,Freshwater Fish,Mexico,Number,75.0
2214,Number of endangered species,Invertebrates,Mexico,Number,20.0
2215,Number of critically endangered species,Freshwater Fish,Mexico,Number,12.0
2216,Number of vulnerable species,Marine Fish,Mexico,Number,3.0
2217,Number of vulnerable species,Freshwater Fish,Mexico,Number,68.0
2218,Number of vulnerable species,Mosses,Mexico,Number,2.0
2219,Number of vulnerable species,Invertebrates,Mexico,Number,12.0
2220,Total number of threatened species,Freshwater Fish,Mexico,Number,155.0
2221,Total number of threatened species,Invertebrates,Mexico,Number,32.0
2222,Number of endangered indigenous species,Marine Fish,Mexico,Number,1.0
2223,Number of endangered indigenous species,Freshwater Fish,Mexico,Number,69.0
2224,Number of endangered indigenous species,Invertebrates,Mexico,Number,12.0
2225,Number of critically endangered indigenous species,Freshwater Fish,Mexico,Number,8.0
2226,Number of vulnerable indigenous species,Freshwater Fish,Mexico,Number,58.0
2227,Number of vulnerable indigenous species,Invertebrates,Mexico,Number,1.0
2228,Total number of indigenous threatened species,Freshwater Fish,Mexico,Number,135.0
2229,Total number of indigenous threatened species,Invertebrates,Mexico,Number,13.0
2230,Threatened species as % of known species,Freshwater Fish,Mexico,Percentage,30.693
2231,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Mexico,Percentage,46.713
2232,Total number of known species,Mosses,Netherlands,Number,517.0
2233,Total number of known species,Lichens,Netherlands,Number,683.0
2234,Total number of known species,Invertebrates,Netherlands,Number,507.0
2235,Number of endangered species,Mosses,Netherlands,Number,27.0
2236,Number of endangered species,Lichens,Netherlands,Number,42.0
2237,Number of endangered species,Invertebrates,Netherlands,Number,60.0
2238,Number of critically endangered species,Mosses,Netherlands,Number,52.0
2239,Number of critically endangered species,Lichens,Netherlands,Number,49.0
2240,Number of critically endangered species,Invertebrates,Netherlands,Number,51.0
2241,Number of vulnerable species,Mosses,Netherlands,Number,43.0
2242,Number of vulnerable species,Lichens,Netherlands,Number,65.0
2243,Number of vulnerable species,Invertebrates,Netherlands,Number,51.0
2244,Total number of threatened species,Mosses,Netherlands,Number,122.0
2245,Total number of threatened species,Lichens,Netherlands,Number,156.0
2246,Total number of threatened species,Invertebrates,Netherlands,Number,162.0
2247,Total number of indigenous threatened species,Amphibians,Netherlands,Number,7.0
2248,Threatened species as % of known species,Mosses,Netherlands,Percentage,23.598000000000003
2249,Threatened species as % of known species,Lichens,Netherlands,Percentage,22.84
2250,Threatened species as % of known species,Invertebrates,Netherlands,Percentage,31.953000000000003
2251,Threatened indigenous species as % of indigenous spec.,Amphibians,Netherlands,Percentage,43.75
2252,Total number of known species,Invertebrates,New Zealand,Number,33000.0
2253,Total number of indigenous known species,Mosses,New Zealand,Number,525.0
2254,Total number of indigenous known species,Lichens,New Zealand,Number,2026.0
2255,Total number of indigenous known species,Invertebrates,New Zealand,Number,30700.0
2256,Number of endangered species,Mosses,New Zealand,Number,4.0
2257,Number of endangered species,Lichens,New Zealand,Number,2.0
2258,Number of endangered species,Invertebrates,New Zealand,Number,62.0
2259,Number of critically endangered species,Mosses,New Zealand,Number,14.0
2260,Number of critically endangered species,Lichens,New Zealand,Number,6.0
2261,Number of critically endangered species,Invertebrates,New Zealand,Number,133.0
2262,Number of vulnerable species,Mosses,New Zealand,Number,2.0
2263,Number of vulnerable species,Lichens,New Zealand,Number,8.0
2264,Number of vulnerable species,Invertebrates,New Zealand,Number,71.0
2265,Total number of threatened species,Mosses,New Zealand,Number,20.0
2266,Total number of threatened species,Lichens,New Zealand,Number,16.0
2267,Total number of threatened species,Invertebrates,New Zealand,Number,266.0
2268,Number of endangered indigenous species,Mosses,New Zealand,Number,4.0
2269,Number of endangered indigenous species,Lichens,New Zealand,Number,2.0
2270,Number of endangered indigenous species,Invertebrates,New Zealand,Number,62.0
2271,Number of critically endangered indigenous species,Mosses,New Zealand,Number,14.0
2272,Number of critically endangered indigenous species,Lichens,New Zealand,Number,6.0
2273,Number of critically endangered indigenous species,Invertebrates,New Zealand,Number,133.0
2274,Number of vulnerable indigenous species,Mosses,New Zealand,Number,2.0
2275,Number of vulnerable indigenous species,Lichens,New Zealand,Number,8.0
2276,Number of vulnerable indigenous species,Invertebrates,New Zealand,Number,71.0
2277,Total number of indigenous threatened species,Mosses,New Zealand,Number,20.0
2278,Total number of indigenous threatened species,Lichens,New Zealand,Number,16.0
